Numer                                       wpisu;Imiê i nazwisko lub nazwa inwestora;Data wpisu;Adres;Rodzaj;opis;typ;Data wniosku;Nr               wniosku;Nr               decyzji;Data decyzji;Rok wniosku;Miesi¹c wniosku;data;Czas rozpatrzenia
500;;;Brylantowa  ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2015-01-26;2182/15;994/15;2015-03-03;2015;1;2015-01-01;27
501;;;Lotnicza  ;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalnego wielorodzinnego z gara¿em wbudowanym;nowe;2014-12-30;41719/14;995/15;2015-03-04;2014;12;2014-12-01;47
511;;;Ojca Beyzyma  31 ;bud.gara¿y;budowa budynku gara¿u z pomieszczeniem gospodarczy w miejscu dawnego budynku gospodarczego;nowe;2014-12-22;41094/14;1008/15;2015-03-04;2014;12;2014-12-01;53
533;;;Ostrowska  50 ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2014-12-03;38989/14;1042/15;2015-03-05;2014;12;2014-12-01;67
534;;;Rêdziñska 59A ;bud.o dwóch mieszkaniach;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2014-12-30;41680/14;1043/15;2015-03-05;2014;12;2014-12-01;48
537;;;Jutrzenki 71B ;bud.mieszkalne jednorodzinne;budowa domu mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2015-01-05;64/15;1049/15;2015-03-06;2015;1;2015-01-01;45
547;;;Osiniecka  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego w zabudowie wolno stoj¹cej;nowe;2015-01-28;2550/15;1060/15;2015-03-06;2015;1;2015-01-01;28
567;;;Orawska  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2014-12-23;41361/14;1096/15;2015-03-10;2014;12;2014-12-01;56
594;;;Marszowicka  95 ;bud.mieszkalne jednorodzinne;budowa jednorodzinnego budynku mieszkalnego;nowe;2015-02-03;3127/15;1162/15;2015-03-12;2015;2;2015-02-01;28
609;;;Smardzowska  ;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalnego wielorodzinnego;nowe;2015-01-30;2824/15;1203/15;2015-03-16;2015;1;2015-01-01;32
610;;;Daliowa 4 ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego wraz z zagospodarowaniem trenu z wy³¹czenmiem przy³aczy;nowe;2014-12-23;41420/14;1204/15;2015-03-16;2014;12;2014-12-01;60
625;;;Konwaliowa  12 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2014-11-28;38437/14;1231/15;2015-03-17;2014;11;2014-11-01;78
647;;;Klecina;bud.o trzech i wiêcej mieszkaniach;budowa budynków mireszkalnych wielorodzinnych;nowe;2012-02-13;11-gru;1268/15;2015-03-18;2012;2;2012-02-01;808
655;;;£ukowska  53 ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2015-01-27;2319/15;1294/15;2015-03-19;2015;1;2015-01-01;38
672;;;Wyk³adowa  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-01-20;1659/15;1319/15;2015-03-20;2015;1;2015-01-01;44
683;;;Perska 4 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2015-02-16;4585/15;1333/15;2015-03-20;2015;2;2015-02-01;25
689;;;Grawerska  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2015-02-06;3687/15;1357/15;2015-03-23;2015;2;2015-02-01;32
703;;;Œremska  ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2015-01-05;57/15;1384/15;2015-03-24;2015;1;2015-01-01;57
706;;;Porajowska  ;bud.o dwóch mieszkaniach;budowa zespo³u budynków jednorodzinnych;nowe;2015-02-06;3692/15;1387/15;2015-03-24;2015;2;2015-02-01;33
712;;;Szczygla 6 ;bud.mieszkalne jednorodzinne;budowa dwóch budynków mieszkalnych jednorodzinnych;nowe;2014-12-18;40732/14;1398/15;2015-03-24;2014;12;2014-12-01;69
713;;;Krêpicka  12 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-02-27;6320/15;1400/15;2015-03-24;2015;2;2015-02-01;18
750;;;Lubska 12D ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2014-07-16;23021/14;1464/15;2015-03-27;2014;7;2014-07-01;183
752;;;Mokra;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-01-26;2271/15;1466/15;2015-03-27;2015;1;2015-01-01;45
